,activity_type,date,title,distance,calories,time,avg_hr,max_hr,avg_cadence,max_cadence,avg_pace,best_pace,total_ascent,total_descent,avg_stride,moving_time,elapsed_time,min_elevation,max_elevation,temp,humidity,wind,year,month,elev_diff,pace_str,pace_min,pace_sec,avg_pace_int
51,Running,2022-01-12,Lenexa Running,3.0,276,00:26:18,164,179,165,221,8:46,7:45,72,87,1.11,00:26:17,00:26:18,951,997,52,30,9,2022,01,46,8:46,8,46,8.766666666666667
52,Running,2022-01-03,Lenexa Running,3.01,300,00:29:30,160,174,167,176,9:49,8:26,52,67,0.98,00:29:25,00:29:51,952,996,43,49,9,2022,01,44,9:49,9,49,9.816666666666666
53,Running,2021-12-31,Lenexa Running,3.01,270,00:25:20,164,180,169,175,8:26,8:02,77,70,1.13,00:25:19,00:25:20,952,995,52,50,14,2021,12,43,8:26,8,26,8.433333333333334
54,Running,2021-12-28,Lenexa Running,4.0,377,00:34:53,165,181,166,210,8:43,7:36,82,88,1.11,00:34:39,00:37:20,952,1004,55,38,14,2021,12,52,8:43,8,43,8.716666666666667
55,Running,2021-12-14,Lenexa Running,3.0,286,00:25:19,168,182,170,176,8:26,7:51,60,84,1.12,00:25:17,00:25:25,951,1003,63,68,14,2021,12,52,8:26,8,26,8.433333333333334
56,Running,2021-12-10,Lenexa Running,3.7,331,00:30:05,165,183,165,176,8:08,6:16,132,131,1.2,00:30:04,00:30:05,929,996,66,56,20,2021,12,67,8:08,8,8,8.133333333333333
57,Running,2021-11-17,Shawnee Running,3.0,280,00:25:45,163,180,170,177,8:35,7:37,190,225,1.1,00:25:38,00:25:53,867,1018,54,22,15,2021,11,151,8:35,8,35,8.583333333333334
58,Running,2021-11-16,Shawnee Running,3.0,270,00:25:32,158,179,170,179,8:31,7:23,88,124,1.11,00:25:15,00:27:20,780,905,66,68,10,2021,11,125,8:31,8,31,8.516666666666667
59,Running,2021-11-09,Shawnee Running,4.01,371,00:34:33,161,178,168,216,8:37,7:01,95,131,1.11,00:34:11,00:37:16,773,905,64,56,7,2021,11,132,8:37,8,37,8.616666666666667
60,Running,2021-11-08,Running,3.0,286,00:25:21,166,184,167,187,8:27,7:02,97,124,1.14,00:25:01,00:27:28,780,905,70,46,3,2021,11,125,8:27,8,27,8.45
