Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-05-13 16:25:39,false,"Lenexa Running","3.00","279","00:26:49","162","181","164","174","8:56","4:58","62","66","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.84","4","0.0","00:26:31","00:28:05","951","996"
Running,2022-05-09 16:32:44,false,"Lenexa Running","3.00","310","00:29:08","165","180","157","175","9:43","7:58","55","60","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:22.29.1","3","0.0","00:29:07","00:29:08","951","996"
Running,2022-05-06 16:26:59,false,"Lenexa Running","4.00","381","00:35:25","166","179","168","174","8:51","0:53","110","117","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:44.35.6","4","0.0","00:35:21","00:35:41","952","1,027"
Running,2022-04-27 17:26:53,false,"Lenexa Running","3.00","274","00:26:26","162","177","164","176","8:48","8:04","54","66","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.26.2","4","0.0","00:26:26","00:26:26","951","996"
Running,2022-04-25 16:41:13,false,"Lenexa Running","4.02","361","00:34:52","162","176","170","176","8:40","8:11","129","124","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:12.34.3","5","0.0","00:34:51","00:34:52","952","1,015"
Running,2022-04-22 16:28:51,false,"Lenexa Running","6.00","589","00:55:01","166","182","163","174","9:10","8:04","185","187","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:44.24.9","6","0.0","00:54:53","01:00:43","951","1,043"
Running,2022-04-19 16:35:10,false,"Lenexa Running","4.01","375","00:36:22","161","179","164","177","9:05","8:03","86","91","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.50.7","5","0.0","00:36:19","00:36:28","952","1,015"
Running,2022-04-11 16:39:45,false,"Lenexa Running","4.00","376","00:35:45","164","176","166","174","8:56","8:07","100","100","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:36.92.1","4","0.0","00:35:41","00:35:53","952","1,027"
Running,2022-04-01 16:21:55,false,"Lenexa Running","6.00","569","00:54:11","164","176","168","174","9:02","8:13","189","195","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.43","7","0.0","00:54:03","00:54:43","951","1,043"
Running,2022-03-28 16:24:10,false,"Lenexa Running","4.00","380","00:36:22","162","178","164","174","9:05","8:02","67","73","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.02.7","5","0.0","00:36:22","00:36:22","952","1,015"
